No,Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Di mana bisnis Anda berada?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Dalam mencari solusi apakah Anda lebih memilih untuk:,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Masalah komunikasi,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Kualitas pekerjaan,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Memenuhi tenggat waktu,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Biaya,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Mencari keterampilan yang tepat,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Desain logo,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Pengembangan website,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Strategi pemasaran,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Manajemen media sosial,Seberapa puas Anda dengan nilai yang diberikan oleh layanan freelancer (penyedia jasa) untuk uang yang Anda keluarkan?,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak sumber daya tutorial,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Dukungan pelanggan yang lebih baik,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak opsi freelancer,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Opsi harga yang fleksibel,Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Ulasan & Penilaian],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Kualitas Portofolio],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Harga],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Komunikasi],Bagaimana cara Anda dalam menyelesaikan masalah?,Seberapa mampu Anda membeli layanan freelancer (penyedia jasa) berdasarkan anggaran Anda saat ini?,Seberapa tertarik Anda menggunakan freelancer (penyedia jasa) untuk proyek Anda di masa depan?,Bagaimana Anda pertama kali mendengar tentang layanan freelancer (penyedia jasa)?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Seberapa besar kemungkinan Anda merekomendasikan layanan freelancer (penyedia jasa) kepada teman dan keluarga Anda?,Apakah ada saran dan masukan untuk Sribu (Sribu.com)?,Platform freelancer,Platform freelancer1
1,31-35 tahun,Middle,Sumatera Utara,Laki-Laki,Bekerja penuh waktu,Ya,Non-profit,Kurang dari Rp750 juta,Medan,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,,Biaya,Mencari keterampilan yang tepat,Harian,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,7,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,3,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,7,7,Teman atau kolega,Sribu,5,lebih berkompeten,Sribu,1
2,25-30 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Mingguan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,8,Pencarian online,Upwork,9,Sangat cocok untuk,Other,0
3,36-40 tahun,Lower,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Fashion,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Tidak,Diberi rekomendasi,,,,,,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,Desain logo,,Strategi pemasaran,Manajemen media sosial,7,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Survey online,Tidak ada,7,Tidak ada,Tidak ada,0
4,31-35 tahun,Middle,Sumatera Utara,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Medan,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,5,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,4,10,Teman atau kolega,Fastwork,10,Agar kualitas website lebih bagus,Other,0
5,41-45 tahun,Upper,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Surabaya,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Bulanan,Pengembangan website,NA,NA,Desain logo,Pengembangan website,,,8,,Dukungan pelanggan yang lebih baik,,,4,4,4,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,9,Media sosial,Project.co.id,9,Aplikasi yang cukup bagus,Other,0
6,25-30 tahun,Upper,Bali,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,,,,Biaya,Mencari keterampilan yang tepat,Harian,Pengembangan website,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,,9,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Media sosial,Sribu,10,Semoga fiturnya dibuat lebih lengkap lagi,Sribu,1
7,25-30 tahun,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Pencarian online,Project.co.id,10,Sudah baik,Other,0
8,25-30 tahun,Lower,Jawa Barat,Perempuan,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,Mencari keterampilan yang tepat,Bulanan,Penulisan konten,NA,NA,,,,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,10,Permudah untuk berbagi antara penyedia jasa dan yg mengerjakan jasa,Sribu,1
9,25-30 tahun,Upper,Sumatera Selatan,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Palembang,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Diberi rekomendasi,,,,,Mencari keterampilan yang tepat,Tidak menentu,Desain logo,NA,NA,Desain logo,Pengembangan website,,,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Media sosial,Project.co.id,10,Tidak ada karena sudah keren,Other,0
10,25-30 tahun,Middle,Jawa Timur,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,8,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,4,3,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,5,6,Pencarian online,Project.co.id,7,Tetap memberikan pelayanan terbaik dan selalu berinovasi,Other,0
11,36-40 tahun,Upper,Sulawesi Selatan,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Rp1.5 miliar - Rp7.5 miliar,Makassar,Rp75.000.000 - Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Pengembangan website,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,9,Pencarian online,Project.co.id,7,Lebih ditingkatkan skillnya,Other,0
12,36-40 tahun,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,51-100,Ya,Mencari sendiri,,Kualitas pekerjaan,Memenuhi tenggat waktu,Biaya,,Harian,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Pencarian online,Fiverr,9,Di buat lebih menarik lagi,Other,0
