Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Platform freelancer,Platform freelancer1,Prediction,Probability
31-35,Middle,Sumatera Utara,Laki-Laki,Bekerja penuh waktu,Ya,Non-profit,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7366666666666667
25-30,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Mingguan,Pengembangan website,NA,NA,Upwork,Other,0,0,0.17
36-40,Lower,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Fashion,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Jaminan kualitas pekerjaan,N/A,Tidak ada,0,0,0.07666666666666666
31-35,Middle,Sumatera Utara,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.043333333333333335
41-45,Upper,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Bulanan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.08
25-30,Upper,Bali,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,51-100,Ya,Harian,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.7633333333333333
25-30,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.22333333333333333
25-30,Lower,Jawa Barat,Perempuan,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,Kurang dari 5,Ya,Bulanan,Penulisan konten,NA,NA,Sribu,Sribu,1,1,0.6966666666666667
25-30,Upper,Sumatera Selatan,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Tidak menentu,Desain logo,NA,NA,Project.co.id,Other,0,0,0.05
25-30,Middle,Jawa Timur,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.06333333333333334
36-40,Upper,Sulawesi Selatan,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Rp1.5 miliar - Rp7.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Bulanan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.07
36-40,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,51-100,Ya,Harian,Manajemen media sosial,NA,NA,Fiverr,Other,0,0,0.11666666666666667
25-30,Upper,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,6-10,Ya,Bulanan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7833333333333333
31-35,Upper,DKI Jakarta,Perempuan,Tidak bekerja,Ya,Other,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.06
25-30,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Lebih dari Rp150.000.000,Ya,Ya,11-20,Ya,Harian,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.13333333333333333
31-35,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Mingguan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.9566666666666667
41-45,Upper,Jawa Timur,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,N/A,Other,0,0,0.08666666666666667
31-35,Middle,Bali,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,6-10,Ya,Harian,Desain logo,NA,NA,Fastwork,Other,0,0,0.08
25-30,Upper,DI Yogyakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Bulanan,Layanan SEO,NA,NA,Fiverr,Other,0,0,0.13333333333333333
25-30,Upper,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.84
25-30,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,11-20,Ya,Bulanan,Penulisan konten,NA,NA,Project.co.id,Other,0,0,0.09
31-35,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.17333333333333334
36-40,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Harian,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.20333333333333334
31-35,Middle,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,11-20,Ya,Bulanan,Desain logo,NA,NA,Project.co.id,Other,0,0,0.17
36-40,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Triwulanan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.86
25-30,Middle,Maluku,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Ya,51-100,Ya,Tidak menentu,Desain logo,NA,NA,Other,Other,0,0,0.05333333333333334
41-45,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Ya,Ya,21-50,Ya,Mingguan,Manajemen media sosial,NA,NA,Sribu,Sribu,1,1,0.7433333333333333
31-35,Lower,Sulawesi Utara,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,N/A,Tidak ada,0,0,0.07666666666666666
31-35,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Harian,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.14
25-30,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Ya,Ya,11-20,Ya,Mingguan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.24666666666666667
31-35,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Tidak,Ya,6-10,Ya,Bulanan,Penulisan konten,NA,NA,Project.co.id,Other,0,0,0.10333333333333333
36-40,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Harian,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.14666666666666667
25-30,Middle,Jawa Tengah,Perempuan,Tidak bekerja,Ya,Other,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Tidak ada,0,0,0.06333333333333334
25-30,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.10666666666666667
31-35,Middle,Jawa Timur,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.03
36-40,Upper,Jawa Timur,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Kurang dari Rp7.500.000,Tidak,Ya,11-20,Ya,Triwulanan,Manajemen media sosial,NA,NA,Project.co.id,Other,0,0,0.13
31-35,Upper,Bali,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Bulanan,Desain logo,NA,NA,Sribu,Sribu,1,1,0.92
25-30,Upper,Jawa Timur,Laki-Laki,Tenaga lepas (freelancer),Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,N/A,Other,0,0,0.07666666666666666
36-40,Upper,Kepulauan Riau,Perempuan,Pemilik usaha/Wiraswasta,Ya,Berbasis layanan,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Ya,Tidak,Kurang dari 5,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Dukungan dari platform freelancer,N/A,Sribu,1,1,0.86
25-30,Middle,Jawa Timur,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Lebih dari Rp15 miliar,Lebih dari Rp150.000.000,Ya,Ya,Lebih dari 100,Ya,Bulanan,Manajemen media sosial,NA,NA,Fastwork,Other,0,0,0.08
36-40,Middle,Nusa Tenggara Barat,Laki-Laki,Bekerja penuh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,N/A,Tidak ada,0,0,0.04666666666666667
36-40,Middle,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,Berbasis layanan,Rp750 juta - Rp1.5 miliar,Rp7.500.000 - Rp15.000.000,Ya,Ya,21-50,Ya,Mingguan,Pengembangan website,NA,NA,Sribu,Sribu,1,1,0.7866666666666666
25-30,Upper,Jawa Tengah,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp15.000.000 - Rp75.000.000,Ya,Ya,51-100,Ya,Mingguan,Pengembangan website,NA,NA,Fiverr,Other,0,0,0.09
31-35,Middle,Jawa Barat,Perempuan,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Ya,6-10,Tidak,NA,NA,Khawatir tentang kualitas pekerjaan,Dukungan dari platform freelancer,N/A,Sribu,1,1,0.7433333333333333
25-30,Upper,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Rp75.000.000 - Rp150.000.000,Tidak,Tidak,21-50,Ya,Mingguan,Manajemen media sosial,NA,NA,Upwork,Other,0,0,0.17666666666666667
36-40,Upper,Bali,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,N/A,Tidak ada,0,0,0.056666666666666664
25-30,Middle,Sulawesi Tengah,Perempuan,Bekerja paruh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Rp75.000.000 - Rp150.000.000,Tidak,Ya,21-50,Ya,Bulanan,Penulisan konten,NA,NA,Sribu,Sribu,1,1,0.8333333333333334
25-30,Middle,Jawa Tengah,Laki-Laki,Jenis pekerjaan yang dibayar lainnya,Ya,E-commerce,Kurang dari Rp750 juta,Rp75.000.000 - Rp150.000.000,Tidak,Ya,11-20,Ya,Harian,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.72
31-35,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Rp1.5 miliar - Rp7.5 miliar,Lebih dari Rp150.000.000,Tidak,Ya,Lebih dari 100,Ya,Harian,Layanan SEO,NA,NA,Sribu,Sribu,1,1,0.77
31-35,Middle,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mingguan,Pengembangan website,NA,NA,Project.co.id,Other,0,0,0.15333333333333332
41-45,Upper,Jawa Timur,Perempuan,Tidak bekerja,Ya,Kuliner,Kurang dari Rp750 juta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,NA,NA,Biaya terlalu tinggi,Informasi lebih lanjut tentang manfaat menggunakan freelancer,N/A,Other,0,0,0.06666666666666667
